title,Discription,url
"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Chrome extension</p>","<p class=""f5 color-fg-muted mb-0 mt-1"">
          Chrome extensions enable users to customize the Chrome browsing experience.
        </p>",https://github.com//topics/chrome-extension
"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Command-line interface</p>","<p class=""f5 color-fg-muted mb-0 mt-1"">
          A CLI, or command-line interface, is a console that helps users issue commands to a program.
        </p>",https://github.com//topics/cli
"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Clojure</p>","<p class=""f5 color-fg-muted mb-0 mt-1"">
          Clojure is a dynamic, general-purpose programming language.
        </p>",https://github.com//topics/clojure
"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Code quality</p>","<p class=""f5 color-fg-muted mb-0 mt-1"">
          Automate your code review with style, quality, security, and test‑coverage checks when you need them.
        </p>",https://github.com//topics/code-quality
"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Code review</p>","<p class=""f5 color-fg-muted mb-0 mt-1"">
          Ensure your code meets quality standards and ship with confidence.
        </p>",https://github.com//topics/code-review
"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Compiler</p>","<p class=""f5 color-fg-muted mb-0 mt-1"">
          Compilers are software that translate higher-level programming languages to lower-level languages (e.g. machine code).
        </p>",https://github.com//topics/compiler
"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Continuous integration</p>","<p class=""f5 color-fg-muted mb-0 mt-1"">
          Automatically build and test your code as you push it upstream, preventing bugs from being deployed to production.
        </p>",https://github.com//topics/continuous-integration
"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">C++</p>","<p class=""f5 color-fg-muted mb-0 mt-1"">
          C++ is a general purpose and object-oriented programming language.
        </p>",https://github.com//topics/cpp
"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Cryptocurrency</p>","<p class=""f5 color-fg-muted mb-0 mt-1"">
          A cryptocurrency is a digital currency that uses cryptography.
        </p>",https://github.com//topics/cryptocurrency
"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Crystal</p>","<p class=""f5 color-fg-muted mb-0 mt-1"">
          Crystal is a self-hosted, general purpose programming language.
        </p>",https://github.com//topics/crystal
